PRO_NO,NAME,TEL,BASIC_ADDRESS,DETAIL_ADDRESS,PRO_TYPE,rental_price,half_price,UPLOADPATH,FILENAME,FILEREALNAME,FILELOCA,REGDATE,LATITUDE,HARDNESS,,
1,마이다스호텔앤리조트,032-752-7441,경기도 가평군 청평면 북한강로 2245,,hotel,35000,16000,D:\spring\upload\20201230,1.jpg,test01,20210128,,37.7138259,127.4033961,,
2,운악산골프빌리지,032-836-2179,"경기도 가평군 조종면 운악청계로 809, 썬힐골프클럽",,motel,35300,16300,D:\spring\upload\20201230,2.jpg,test02,20210128,,37.88022759,127.3440638,,
3,레이크호텔,,경기도 가평군 청평면 경춘로 560,,motel,35900,16900,D:\spring\upload\20201230,3.jpg,test03,20210128,,37.7201659,127.4041789,,
4,트라움,032-866-7378,경기도 가평군 청평면 은행나무길 19,,hotel,36200,17200,D:\spring\upload\20201230,4.jpg,test04,20210128,,37.6798892,127.3751798,,
5,양지카운티,032-836-1337,경기도 가평군 북면 백둔로560번길 26-4,,motel,36500,17500,D:\spring\upload\20201230,5.jpg,test05,20210128,,37.9079729,127.4499751,,
6,뉴월드호텔,032-746-8003,경기도 가평군 설악면 유명로 1734,,hotel,36800,17800,D:\spring\upload\20201230,6.jpg,test06,20210128,,37.6762565,127.4784499,,
7,나우호텔,,경기도 가평군 가평읍 석봉로3번길 14,,motel,37100,18100,D:\spring\upload\20201230,7.jpg,test07,20210128,,37.8183786,127.5071624,,
8,아이리스,032-752-4233,"경기도 가평군 가평읍 북한강변로 1027-11 (,136-1,136-2)",,hotel,37400,18400,D:\spring\upload\20201230,8.jpg,test08,20210128,,37.8040962,127.5243247,,
9,청평별빛마을,,경기도 가평군 상면 축령로 145,,motel,37700,18700,D:\spring\upload\20201230,9.jpg,test09,20210128,,37.7747679,127.3578688,,
10,(주)호명청평산장호텔,032-886-0551,경기도 가평군 청평면 청군로 70,,hotel,38000,19000,D:\spring\upload\20201230,10.jpg,test10,20210128,,37.74960444,127.4210627,,
11,청평스포랜드리조트,032-836-2464,"경기도 가평군 청평면 고재길 325, 2층~5층",,motel,38300,19300,D:\spring\upload\20201230,11.jpg,test11,20210128,,37.70808371,127.513774,,
12,브라운모텔,032-832-9318,"경기도 가평군 청평면 경춘로 1496-7, 2~5층",,hotel,38600,19600,D:\spring\upload\20201230,12.jpg,test12,20210128,,37.78243036,127.4656664,,
13,명지산밸리하우스,032-831-1072,"경기도 가평군 북면 가화로 2266 (, 산74-1, 산279-1)",,motel,38900,19900,D:\spring\upload\20201230,13.jpg,test13,20210128,,37.9464723,127.4812669,,
14,서린모텔,032-831-1860,경기도 가평군 청평면 경춘로 46 (대성리),,hotel,39200,20200,D:\spring\upload\20201230,14.jpg,test14,20210128,,37.679998,127.3777876,,
15,쉬리모텔,032-886-7272,경기도 가평군 상면 청군로 1055-25 (연하리),,motel,39500,20500,D:\spring\upload\20201230,15.jpg,test15,20210128,,37.8041773,127.3599853,,
16,삼화호텔,,경기도 가평군 가평읍 석봉로3번길 14 외2필지 (대곡리),,hotel,39800,20800,D:\spring\upload\20201230,16.jpg,test16,20210128,,37.8183786,127.5071624,,
17,째즈하우스(모텔),,경기도 가평군 가평읍 경춘로 2035,,motel,40100,21100,D:\spring\upload\20201230,17.jpg,test17,20210128,,37.8142381,127.4999115,,
18,힐타운모텔,,,,hotel,40400,21400,D:\spring\upload\20201230,18.jpg,test18,20210128,,37.7134134,127.4408422,,
19,로젠하임,,"경기도 고양시 일산동구 장백로 36, 1~8층호 (백석동)",,motel,40700,21700,D:\spring\upload\20201230,19.jpg,test19,20210128,,37.64160322,126.7884008,,
20,람세스호텔,032-889-4714,경기도 고양시 덕양구 화신로260번길 20 (화정동),,hotel,41000,22000,D:\spring\upload\20201230,20.jpg,test20,20210128,,37.6314677,126.8328949,,
21,체스호텔,032-889-9947,경기도 고양시 덕양구 충장로 23 (행신동),,motel,41300,22300,D:\spring\upload\20201230,21.jpg,test21,20210128,,37.61489094,126.8336803,,
22,발렌타인호텔,032-832-3954,경기도 고양시 일산동구 강석로 15 (백석동),,hotel,41600,22600,D:\spring\upload\20201230,22.jpg,test22,20210128,,37.64457416,126.7871572,,
23,로마호텔,032-834-8413,"경기도 고양시 일산동구 중앙로 1160, 7층 (마두동)",,motel,41900,22900,D:\spring\upload\20201230,23.jpg,test23,20210128,,37.65101835,126.7787078,,
24,페이지호텔,032-752-7441,경기도 고양시 덕양구 화신로 271 (화정동),,hotel,42200,23200,D:\spring\upload\20201230,24.jpg,test24,20210128,,37.630492,126.8311186,,
25,퀸타운호텔모텔,032-836-2179,"경기도 고양시 일산동구 정발산로 39 (장항동,대양빌딩 8,9,10층)",,motel,42500,23500,D:\spring\upload\20201230,25.jpg,test25,20210128,,37.65726918,126.7730454,,
26,비에스(BS),032-832-9219,경기도 고양시 일산동구 장백로 66 (백석동),,hotel,42800,23800,D:\spring\upload\20201230,26.jpg,test26,20210128,,37.64346373,126.7859367,,
27,캘리포니아호텔,,경기도 고양시 일산동구 중앙로 1029 (백석동),,motel,43100,24100,D:\spring\upload\20201230,27.jpg,test27,20210128,,37.6419641,126.788683,,
28,필그린호텔,032-866-7378,경기도 고양시 일산동구 장백로 38 (백석동),,hotel,43400,24400,D:\spring\upload\20201230,28.jpg,test28,20210128,,37.64174709,126.7882418,,
29,스테이월호텔,032-836-1337,경기도 고양시 덕양구 고양대로 1323 (주교동),,motel,43700,24700,D:\spring\upload\20201230,29.jpg,test29,20210128,,37.6562421,126.8313766,,
30,호텔린,032-746-8003,"경기도 고양시 덕양구 혜음로 208, 1~4층 (벽제동)",,hotel,44000,25000,D:\spring\upload\20201230,30.jpg,test30,20210128,,37.7186505,126.8997835,,
31,카프리,,경기도 고양시 일산동구 장백로 68 (백석동),,motel,44300,25300,D:\spring\upload\20201230,31.jpg,test31,20210128,,37.6435446,126.7858232,,
32,카르마호텔,032-752-4233,경기도 고양시 덕양구 은빛로 55 (화정동),,hotel,44600,25600,D:\spring\upload\20201230,32.jpg,test32,20210128,,37.6378842,126.8340133,,
33,호텔앙띠브,,경기도 고양시 일산동구 중앙로 1058 (백석동),,motel,44900,25900,D:\spring\upload\20201230,33.jpg,test33,20210128,,37.6442133,126.7869316,,
34,마리포사호텔,032-886-0551,"경기도 고양시 일산동구 중앙로1261번길 19, 601, 701호 (장항동, 호수광장빌딩)",,hotel,45200,26200,D:\spring\upload\20201230,34.jpg,test34,20210128,,37.65818734,126.7726233,,
35,boutique hotel k(부띠끄 호텔 케이),032-836-2464,경기도 고양시 일산동구 무궁화로 31-9 (장항동),,motel,45500,26500,D:\spring\upload\20201230,35.jpg,test35,20210128,,37.66282565,126.7672142,,
36,마두 라트리(La TREE),032-832-9318,"경기도 고양시 일산동구 강석로 147, 1~9층호 (마두동)",,hotel,45800,26800,D:\spring\upload\20201230,36.jpg,test36,20210128,,37.65357532,126.7777709,,
